ID,Country_of_origin
7,UK
10,UK
12,UK
14,UK
16,UK
17,UK
18,UK
19,UK
20,UK
21,UK
22,UK
25,UK
30,UK
31,UK
33,UK
37,UK
38,UK
42,UK
44,UK
45,UK
47,UK
59,UK
60,UK
62,UK
111,UK
113,UK
119,UK
122,UK
123,UK
126,UK
131,UK
132,UK
149,UK
183,Denmark
184,Denmark
1035,Canada
1036,Canada
1037,Canada
1038,Canada
1039,Canada
1040,Canada
1041,Canada
1042,Canada
1043,Canada
1044,Canada
1045,Canada
1046,Canada
1047,Canada
1048,Canada
1049,Canada
1050,Canada
1051,Canada
1052,Canada
1053,Canada
1054,Canada
1055,Canada
1056,Canada
1057,Canada
1058,Canada
1059,Canada
1060,Canada
1061,Canada
1062,Canada
1063,Canada
1064,Canada
1065,Canada
1066,Canada
1067,Canada
1068,Canada
1069,Canada
1070,Canada
1071,Canada
1072,Canada
1073,Canada
1074,Canada
1075,Canada
1076,Canada
1077,Canada
1078,Canada
1079,Canada
1080,Canada
1081,Canada
1082,Canada
1083,Canada
1084,Canada
1085,Canada
1086,Canada
1087,Canada
1088,Canada
1089,Canada
1090,Canada
1091,Canada
1092,Canada
1093,Canada
1094,Canada
1095,Canada
1096,Canada
1097,Canada
1098,UK
1099,UK
1100,UK
1101,UK
1102,UK
1103,UK
1104,UK
1105,UK
1106,UK
1107,UK
1108,UK
1109,UK
1110,UK
1111,UK
1112,UK
1113,UK
1114,UK
1115,UK
1116,UK
1117,UK
1118,UK
1119,UK
1120,UK
1121,UK
1122,UK
1123,UK
1124,UK
1125,UK
1126,UK
1127,UK
1128,UK
1129,UK
1130,UK
1131,UK
1132,UK
1133,UK
1134,UK
1135,UK
1136,UK
1137,UK
1138,UK
1139,UK
1140,UK
1141,UK
1142,UK
1143,UK
1144,UK
1145,UK
1146,UK
1147,UK
1148,UK
1149,UK
1150,UK
1151,UK
1152,UK
1153,UK
1295,China
1296,China
1297,China
1298,China
1299,China
1300,China
1301,China
1303,China
1304,China
1305,China
1306,China
1307,China
1308,China
1309,China
1310,China
1312,China
1313,China
1314,China
1315,China
1316,China
1317,China
1318,China
1319,China
1320,China
1321,China
1322,China
1323,China
1324,China
1325,China
1326,China
1327,China
1328,China
1329,China
1330,China
1331,China
1332,China
1333,China
1334,China
1335,China
1341,Ireland
1342,Ireland
1343,Ireland
1344,Ireland
1345,Ireland
1346,Ireland
1347,Ireland
1348,Ireland
1349,Ireland
1350,Ireland
1351,Ireland
1352,Ireland
1353,Ireland
1354,Ireland
1355,Ireland
1356,Ireland
1357,Ireland
1358,Ireland
1359,Ireland
1360,Ireland
1361,Ireland
1362,Ireland
1363,Ireland
1364,Ireland
1365,Ireland
1366,Ireland
1367,Ireland
1368,Ireland
1369,Ireland
1370,Ireland
1371,Ireland
1372,Ireland
1373,Ireland
1374,Ireland
1375,Ireland
1376,Ireland
1377,Ireland
1378,Ireland
1379,Ireland
1380,Ireland
1381,Ireland
1382,Ireland
1383,Ireland
1384,Ireland
1385,Ireland
1386,Ireland
1387,Ireland
1388,Ireland
1488,UK
1489,UK
1490,UK
1491,UK
1492,UK
1494,UK
1495,UK
1496,UK
1497,UK
1498,UK
1499,UK
1500,UK
1501,UK
1502,UK
1503,UK
1504,UK
1505,UK
1506,UK
1507,UK
1508,UK
1509,UK
1510,UK
1511,UK
1512,UK
1513,UK
1514,UK
1515,UK
1516,UK
1517,UK
1518,UK
1519,UK
1520,UK
1521,UK
1522,UK
1523,UK
1524,UK
1525,UK
1526,UK
1527,UK
1528,UK
1529,UK
1530,UK
1531,UK
1532,UK
1533,UK
1534,UK
1535,UK
1536,UK
1537,UK
1538,UK
1539,UK
1540,UK
1541,UK
1542,UK
1543,UK
1544,UK
1545,UK
1546,UK
1547,UK
1548,UK
1549,UK
1550,UK
1552,UK
1553,UK
1554,UK
1555,UK
1556,UK
1557,UK
1558,UK
1560,UK
1638,UK
1639,UK
1640,UK
1641,UK
1642,UK
1643,UK
1644,UK
1645,UK
1646,UK
1647,UK
1648,UK
1649,UK
1650,UK
1651,UK
1652,UK
1653,UK
1654,UK
1655,UK
1656,UK
1657,UK
1658,UK
1659,UK
1660,UK
1661,UK
1662,UK
1663,UK
1664,UK
1665,UK
1666,UK
1667,UK
1668,UK
1669,UK
1670,UK
1671,UK
1672,UK
1673,UK
1674,UK
1675,UK
1676,UK
1677,UK
1678,UK
1679,UK
1680,UK
1681,UK
1682,UK
1683,UK
1684,UK
1685,UK
1686,UK
1687,UK
1688,UK
1689,UK
1690,UK
1691,UK
1692,UK
1693,UK
1694,UK
1695,UK
1696,UK
1697,UK
1698,UK
1699,UK
1700,UK
1701,UK
1702,UK
1703,UK
1704,UK
1705,UK
1706,UK
1707,UK
1708,UK
1709,UK
1710,UK
1711,UK
1712,UK
1713,UK
1714,UK
2065,UK
2066,UK
2067,UK
2068,UK
2069,UK
2070,UK
2071,UK
2072,UK
2073,UK
2074,UK
2075,UK
2076,UK
2077,UK
2078,UK
2079,UK
2080,UK
2081,UK
2083,UK
2084,UK
2085,UK
2086,UK
2087,UK
2088,UK
2089,UK
2090,UK
2091,UK
2092,UK
2093,UK
2094,UK
2095,UK
2096,UK
2097,UK
2098,UK
2099,UK
2100,UK
2101,UK
2102,UK
2104,UK
2105,UK
2106,UK
2107,UK
2108,UK
2109,UK
2110,UK
2111,UK
2112,UK
2113,UK
2115,UK
