gene	hits	maxp	avg_af	avg_maf	avg_beta
RS04210	1	3.246416941	0.798	0.202	3.13
RS01420	5	4.055517328	0.208	0.208	4.964
RS03430	1	3.156767222	0.785	0.215	1.74
RS01830	1	3.324221658	0.302	0.302	2.41
RS00870	1	4.070581074	0.694	0.306	2.08
RS01735	1	3.458420756	0.687	0.313	2.87
RS01175	3	3.419075024	0.344266667	0.344266667	3.906666667
RS07225	2	3.974694135	0.6495	0.3505	2.74
RS09525	3	3.661543506	0.647	0.353	2.686666667
RS06005	15	4.823908741	0.362066667	0.362066667	2.058
RS09485	2	3.580044252	0.549	0.451	4.825
RS06045	3	4.37675071	0.541	0.459	2.026666667
RS06010	2	4.366531544	0.54	0.46	2.06
RS06015	11	4.387216143	0.524909091	0.475090909	1.871818182
RS06030	10	4.229147988	0.5208	0.4792	1.828
RS06050	16	4.420216403	0.49975	0.49975	1.895
RS06335	2	3.511449283	0.5	0.5	1.84
